time,percent
0:00,100.0
0:05,100.0
0:10,100.0
0:15,100.0
0:20,100.0
0:25,100.0
0:30,100.0
0:35,100.0
0:40,100.0
0:45,100.0
0:50,100.0
0:55,100.0
1:00,100.0
1:05,100.0
1:10,100.0
1:15,100.0
1:20,100.0
1:25,100.0
1:30,100.0
1:35,100.0
1:40,100.0
1:45,100.0
1:50,100.0
1:55,100.0
2:00,100.0
2:05,100.0
2:10,100.0
2:15,100.0
2:20,100.0
2:25,100.0
2:30,100.0
2:35,100.0
2:40,100.0
2:45,100.0
2:50,100.0
2:55,100.0
3:00,100.0
3:05,100.0
3:10,100.0
3:15,100.0
3:20,100.0
3:25,100.0
3:30,100.0
3:35,100.0
3:40,100.0
3:45,100.0
3:50,100.0
3:55,100.0
4:00,100.0
4:05,100.0
4:10,100.0
4:15,100.0
4:20,100.0
4:25,100.0
4:30,100.0
4:35,100.0
4:40,100.0
4:45,100.0
4:50,100.0
4:55,100.0
5:00,100.0
5:05,100.0
5:10,100.0
5:15,100.0
5:20,100.0
5:25,100.0
5:30,100.0
5:35,100.0
5:40,100.0
5:45,100.0
5:50,100.0
5:55,100.0
6:00,100.0
6:05,100.0
6:10,100.0
6:15,100.0
6:20,100.0
6:25,100.0
6:30,100.0
6:35,100.0
6:40,100.0
6:45,100.0
6:50,100.0
6:55,100.0
7:00,100.0
7:05,100.0
7:10,100.0
7:15,100.0
7:20,100.0
7:25,100.0
7:30,100.0
7:35,100.0
7:40,100.0
7:45,100.0
7:50,100.0
7:55,100.0
8:00,100.0
8:05,100.0
8:10,100.0
8:15,100.0
8:20,100.0
8:25,100.0
8:30,98.8
8:35,96.4
8:40,93.6
8:45,91.2
8:50,89.2
8:55,86.4
9:00,84.0
9:05,82.0
9:10,79.2
9:15,77.2
9:20,74.8
9:25,72.4
9:30,69.6
9:35,67.2
9:40,65.8
9:45,64.4
9:50,62.0
9:55,59.6
10:00,57.6
10:05,60.0
10:10,62.0
10:15,64.4
10:20,66.4
10:25,68.8
10:30,70.8
10:35,73.6
10:40,75.6
10:45,77.6
10:50,80.0
10:55,82.4
11:00,84.0
11:05,86.0
11:10,88.4
11:15,90.4
11:20,92.8
11:25,94.0
11:30,91.6
11:35,89.6
11:40,86.8
11:45,84.8
11:50,83.2
11:55,80.8
12:00,78.0
12:05,76.0
12:10,73.6
12:15,70.8
12:20,68.8
12:25,66.4
12:30,64.0
12:35,61.6
12:40,59.6
12:45,57.2
12:50,54.8
12:55,52.4
13:00,50.0
13:05,47.2
13:10,45.2
13:15,42.8
13:20,40.8
13:25,38.0
13:30,36.4
13:35,34.4
13:40,32.0
13:45,28.4
13:50,25.2
13:55,21.2
14:00,14.4
14:05,11.2
14:10,11.2
14:15,11.2
14:20,11.2
14:25,11.2
14:30,0.0
14:35,0.0
14:40,0.0
14:45,0.0
14:50,0.0
14:55,0.0
15:00,0.0
15:05,0.0
15:10,0.0
15:15,0.0
15:20,0.0
15:25,0.0
15:30,0.0
15:35,0.0
15:40,0.0
15:45,0.0
15:50,0.0
15:55,0.0
16:00,0.0
16:05,0.0
16:10,0.0
16:15,0.0
16:20,0.0
16:25,0.0
16:30,0.0
16:35,0.0
16:40,0.0
16:45,0.0
16:50,0.0
16:55,0.0
17:00,0.0
17:05,0.0
17:10,0.0
17:15,0.0
17:20,0.0
17:25,0.0
17:30,0.0
17:35,0.0
17:40,0.0
17:45,0.0
17:50,0.0
17:55,0.0
18:00,0.0
18:05,0.0
18:10,0.0
18:15,0.0
18:20,0.0
18:25,0.0
18:30,0.0
18:35,0.0
18:40,0.0
18:45,0.0
18:50,0.0
18:55,0.0
19:00,0.0
19:05,0.0
19:10,0.0
19:15,0.0
19:20,0.0
19:25,0.0
19:30,0.0
19:35,0.0
19:40,0.0
19:45,0.0
19:50,0.0
19:55,0.0
20:00,0.0
20:05,0.0
20:10,0.0
20:15,0.0
20:20,0.0
20:25,0.0
20:30,0.0
20:35,0.0
20:40,0.0
20:45,0.0
20:50,0.0
20:55,0.0
21:00,0.0
21:05,0.0
21:10,0.0
21:15,0.0
21:20,0.0
21:25,0.0
21:30,0.0
21:35,0.0
21:40,0.0
21:45,0.0
21:50,0.0
21:55,0.0
22:00,0.0
22:05,0.0
22:10,0.0
22:15,0.0
22:20,0.0
22:25,0.0
22:30,0.0
22:35,0.0
22:40,0.0
22:45,0.0
22:50,0.0
22:55,0.0
23:00,0.0
23:05,0.0
23:10,0.0
23:15,0.0
23:20,0.0
23:25,0.0
23:30,0.0
23:35,0.0
23:40,0.0
23:45,0.0
23:50,0.0
23:55,0.0
