Date,PV(kWh)
1/06/2021,186.7
2/06/2021,255.2
3/06/2021,262.6
4/06/2021,173.3
5/06/2021,180.8
6/06/2021,142
7/06/2021,161.9
8/06/2021,82
9/06/2021,18.2
10/06/2021,0
11/06/2021,1.9
12/06/2021,27.8
13/06/2021,52.8
14/06/2021,193.3
15/06/2021,195.9
16/06/2021,92.3
17/06/2021,162
18/06/2021,65
19/06/2021,207.7
20/06/2021,233.9
21/06/2021,269.7
22/06/2021,174.5
23/06/2021,73.4
24/06/2021,163.3
25/06/2021,74.1
26/06/2021,172
27/06/2021,145.3
28/06/2021,258.3
29/06/2021,275.5
30/06/2021,86.6
1/07/2021,254.7
2/07/2021,177.7
3/07/2021,182.9
4/07/2021,97.7
5/07/2021,52.5
6/07/2021,81.4
7/07/2021,243.1
8/07/2021,223.8
9/07/2021,268.4
10/07/2021,93.1
11/07/2021,175
12/07/2021,145.3
13/07/2021,137.9
14/07/2021,61.3
15/07/2021,206.9
16/07/2021,112.1
17/07/2021,81.9
18/07/2021,106.5
19/07/2021,149.6
20/07/2021,76.1
21/07/2021,157.8
22/07/2021,225.3
23/07/2021,209.9
24/07/2021,208.6
25/07/2021,128.3
26/07/2021,128.6
27/07/2021,226.7
28/07/2021,164.3
29/07/2021,237.3
30/07/2021,321
31/07/2021,304.1
1/08/2021,278.5
2/08/2021,349.8
3/08/2021,222.8
4/08/2021,102.8
